vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
arac,bmw,BMW,Marka bazlı fiyatlar,sabit,kalem_fiyati,4699900,8684800,20272400,4037800,26503300,,,,,,,66,1,donanimhaber,2026-09-05
arac,byd,BYD,Marka bazlı fiyatlar,sabit,kalem_fiyati,4133500,5145500,,4077000,,,,,,,,4,1,donanimhaber,2026-09-05
arac,chery,Chery,Marka bazlı fiyatlar,sabit,kalem_fiyati,2377500,2820000,,2175000,,,,,,,,4,1,donanimhaber,2026-09-05
arac,citroen,Citroen,Marka bazlı fiyatlar,sabit,kalem_fiyati,1855000,2287500,2615000,1640000,3050000,,,,,,,17,1,donanimhaber,2026-09-05
arac,cupra,Cupra,Marka bazlı fiyatlar,sabit,kalem_fiyati,2807500,3622500,4700000,2755000,4700000,,,,,,,7,1,donanimhaber,2026-09-05
arac,dacia,Dacia,Marka bazlı fiyatlar,sabit,kalem_fiyati,1470000,1758000,1860500,1460000,1900000,,,,,,,11,1,donanimhaber,2026-09-05
arac,fiat,Fiat,Marka bazlı fiyatlar,sabit,kalem_fiyati,1077400,1990400,2099900,629900,2379900,,,,,,,15,1,donanimhaber,2026-09-05
arac,ford,Ford,Marka bazlı fiyatlar,sabit,kalem_fiyati,2238900,2864900,3836100,2158700,4330000,,,,,,,19,1,donanimhaber,2026-09-05
arac,honda,Honda,Marka bazlı fiyatlar,sabit,kalem_fiyati,2670000,4970000,6160000,2600000,6160000,,,,,,,6,1,donanimhaber,2026-09-05
arac,hyundai,Hyundai,Marka bazlı fiyatlar,sabit,kalem_fiyati,1726000,2341525,3480000,1562000,3770000,,,,,,,25,1,donanimhaber,2026-09-05
arac,kia,Kia,Marka bazlı fiyatlar,sabit,kalem_fiyati,1819000,2424500,3760000,1435000,6390000,,,,,,,23,1,donanimhaber,2026-09-05
arac,mg,MG,Marka bazlı fiyatlar,sabit,kalem_fiyati,2676000,3282500,3480000,2655000,3480000,,,,,,,5,1,donanimhaber,2026-09-05
arac,mercedes,Mercedes,Marka bazlı fiyatlar,sabit,kalem_fiyati,5007250,10108500,23546000,3320000,31361000,,,,,,,46,1,donanimhaber,2026-09-05
arac,nissan,Nissan,Marka bazlı fiyatlar,sabit,kalem_fiyati,2828400,3933100,4813750,2328700,5615600,,,,,,,18,1,donanimhaber,2026-09-05
arac,opel,Opel,Marka bazlı fiyatlar,sabit,kalem_fiyati,1807500,2120000,3050000,1535000,3570000,,,,,,,21,1,donanimhaber,2026-09-05
arac,peugeot,Peugeot,Marka bazlı fiyatlar,sabit,kalem_fiyati,2121000,2748500,3585000,1690000,3750000,,,,,,,21,1,donanimhaber,2026-09-05
arac,renault,Renault,Marka bazlı fiyatlar,sabit,kalem_fiyati,1937500,2542500,3399000,1830000,4050000,,,,,,,23,1,donanimhaber,2026-09-05
arac,seat,Seat,Marka bazlı fiyatlar,sabit,kalem_fiyati,2017500,2612500,,1985000,,,,,,,,4,1,donanimhaber,2026-09-05
arac,skoda,Skoda,Marka bazlı fiyatlar,sabit,kalem_fiyati,2389900,3887400,7119900,2009900,7459900,,,,,,,41,1,donanimhaber,2026-09-05
arac,suzuki,Suzuki,Marka bazlı fiyatlar,sabit,kalem_fiyati,2108500,2617000,2778000,2079000,2803000,,,,,,,12,1,donanimhaber,2026-09-05
arac,tesla,Tesla,Marka bazlı fiyatlar,sabit,kalem_fiyati,3078892,4583000,,2474985,,,,,,,,4,1,donanimhaber,2026-09-05
arac,togg,Togg,Marka bazlı fiyatlar,sabit,kalem_fiyati,1909048,2390965,3218137,1884980,3218137,,,,,,,8,1,donanimhaber,2026-09-05
arac,toyota,Toyota,Marka bazlı fiyatlar,sabit,kalem_fiyati,2778500,3297000,5100000,2350000,5781000,,,,,,,27,1,donanimhaber,2026-09-05
arac,volkswagen,Volkswagen,Marka bazlı fiyatlar,sabit,kalem_fiyati,2916000,4056500,7002000,2292000,7805000,,,,,,,40,1,donanimhaber,2026-09-05
arac,en-ucuz-sifir-arac,En ucuz sıfır araç (marka giriş fiyatı),,sabit,kalem_fiyati,1517450,2079000,2650000,1460000,3320000,,,,,,,22,1,donanimhaber,2026-09-05
