vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
bebek,bebek-bezi,Bebek Bezi (aylık),Aylık sarf,sabit,278,504,921,180,1780,45,2,amazon; ebebek,2026-08-02
bebek,bebek-kuveti,Bebek Küveti,Bakım,sabit,750,1080,2484,493,4899,51,2,amazon; ebebek,2026-08-02
bebek,biberon-seti,Biberon Seti,Beslenme,sabit,350,804,1799,149,2499,49,1,amazon,2026-08-02
bebek,gogus-pompasi,Göğüs Pompası,Beslenme,sabit,674,2349,4400,310,7000,49,2,amazon; ebebek,2026-08-02
bebek,mama-sandalyesi,Mama Sandalyesi,Beslenme,sabit,1200,1802,4868,350,7054,55,2,amazon; trendyol,2026-08-02
bebek,uyku-tulumu,Uyku Tulumu,Tekstil,sabit,329,499,750,200,859,35,1,amazon,2026-08-02
bebek,zibin-seti,Zıbın / Body Seti,Tekstil,sabit,398,550,825,260,999,48,1,amazon,2026-08-02
bebek,bebek-arabasi,Bebek Arabası,Uyku ve taşıma,sabit,4999,10799,18997,2999,46999,74,3,amazon; ebebek; trendyol,2026-08-02
bebek,besik,Beşik,Uyku ve taşıma,sabit,1599,5892,12999,876,28699,53,3,amazon; ebebek; trendyol,2026-08-02
bebek,oto-koltugu,Oto Koltuğu,Uyku ve taşıma,sabit,4191,10126,17920,840,31999,67,2,amazon; trendyol,2026-08-02
bebek,park-yatak,Park Yatak / Oyun Parkı,Uyku ve taşıma,sabit,3624,5399,13449,2495,15899,34,2,amazon; ebebek,2026-08-02
