vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
dugun,alyans,Alyans,,sabit,kalem_fiyati,8528,16045,21270,1107,21460,,,,,,,27,2,atasay; trendyol,2026-07-26
dugun,damatlik,Damatlık / Takım Elbise,,sabit,kalem_fiyati,27950,46950,83970,2508,164950,,,,,,,98,3,beymen; trendyol; vakko,2026-09-05
dugun,davetiye,Davetiye,,sabit,kalem_fiyati,150,254,1203,92,3274,,,,,,,30,2,amazon; trendyol,2026-08-05
dugun,salon-kokteyl,Düğün Salonu — kokteyl (yemeksiz),,kisi_basi,kisi_basi_fiyat,500,800,1420,280,1850,,,,,,,9,1,dugunbuketi,2026-09-05
dugun,salon-yemekli,Düğün Salonu — yemekli (menü dahil),,kisi_basi,kisi_basi_fiyat,725,1100,2175,650,2500,,,,,,,10,1,dugunbuketi,2026-09-05
dugun,fotografci,Fotoğraf ve Video,,sabit,kalem_fiyati,15150,15150,15150,15150,15150,,,,,,,1,1,dugun-com,2026-09-05
dugun,gelin-arabasi,Gelin Arabası,,sabit,kalem_fiyati,9550,9550,9550,9550,9550,,,,,,,1,1,dugun-com,2026-09-05
dugun,gelin-ayakkabisi,"Gelin Ayakkabısı, Duvak, Aksesuar",,sabit,kalem_fiyati,708,1550,4500,590,6250,,,,,,,50,2,amazon; trendyol,2026-08-05
dugun,gelinlik,Gelinlik,,sabit,kalem_fiyati,3704,18172,43839,2250,65000,,,,,,,20,1,trendyol,2026-07-26
dugun,kuafor-makyaj,Kuaför ve Makyaj,,sabit,kalem_fiyati,13450,13450,13450,13450,13450,,,,,,,1,1,dugun-com,2026-09-05
dugun,nikah-sekeri,Nikah Şekeri,,sabit,kalem_fiyati,250,462,714,169,980,,,,,,,30,2,amazon; trendyol,2026-08-05
dugun,organizasyon,Organizasyon / Süsleme,,sabit,kalem_fiyati,14650,14650,14650,14650,14650,,,,,,,1,1,dugun-com,2026-09-05
dugun,taki-altin,Takı — Altın Bilezik (1 adet),,sabit,kalem_fiyati,33085,85022,180340,30600,243765,,,,,,,24,1,atasay,2026-07-26
dugun,yemek-ikram,Yemek / İkram (mekanın menü bedeli),,kisi_basi,kisi_basi_fiyat,250,450,920,250,920,,,,,,,9,1,dugunbuketi,2026-09-05
