vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
dugun,alyans,Alyans,,sabit,kalem_fiyati,8528,16045,21270,1107,21460,,,,,,,27,2,atasay; trendyol,2026-07-26
dugun,damatlik,Damatlık / Takım Elbise,,sabit,kalem_fiyati,27950,47950,83970,2508,164950,,,,,,,97,3,beymen; trendyol; vakko,2026-08-20
dugun,davetiye,Davetiye,,sabit,kalem_fiyati,150,254,1203,92,3274,,,,,,,30,2,amazon; trendyol,2026-08-05
dugun,salon-kokteyl,Düğün Salonu — kokteyl (yemeksiz),,kisi_basi,kisi_basi_fiyat,280,500,2175,250,2500,,,,,,,10,1,dugunbuketi,2026-08-20
dugun,salon-yemekli,Düğün Salonu — yemekli (menü dahil),,kisi_basi,kisi_basi_fiyat,575,1250,2500,250,2500,,,,,,,11,1,dugunbuketi,2026-08-20
dugun,fotografci,Fotoğraf ve Video,,sabit,kalem_fiyati,15000,15000,15000,15000,15000,,,,,,,1,1,dugun-com,2026-08-20
dugun,gelin-arabasi,Gelin Arabası,,sabit,kalem_fiyati,9300,9300,9300,9300,9300,,,,,,,1,1,dugun-com,2026-08-20
dugun,gelin-ayakkabisi,"Gelin Ayakkabısı, Duvak, Aksesuar",,sabit,kalem_fiyati,708,1550,4500,590,6250,,,,,,,50,2,amazon; trendyol,2026-08-05
dugun,gelinlik,Gelinlik,,sabit,kalem_fiyati,3704,18172,43839,2250,65000,,,,,,,20,1,trendyol,2026-07-26
dugun,kuafor-makyaj,Kuaför ve Makyaj,,sabit,kalem_fiyati,12600,12600,12600,12600,12600,,,,,,,1,1,dugun-com,2026-08-20
dugun,nikah-sekeri,Nikah Şekeri,,sabit,kalem_fiyati,250,462,714,169,980,,,,,,,30,2,amazon; trendyol,2026-08-05
dugun,organizasyon,Organizasyon / Süsleme,,sabit,kalem_fiyati,16550,16550,16550,16550,16550,,,,,,,1,1,dugun-com,2026-08-20
dugun,taki-altin,Takı — Altın Bilezik (1 adet),,sabit,kalem_fiyati,33085,85022,180340,30600,243765,,,,,,,24,1,atasay,2026-07-26
dugun,yemek-ikram,Yemek / İkram (mekanın menü bedeli),,kisi_basi,kisi_basi_fiyat,250,500,920,150,920,,,,,,,8,1,dugunbuketi,2026-08-20
