vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
ev-kurma,firin-ocak,Ankastre Fırın / Ocak Seti,Beyaz eşya,sabit,6954,18056,25690,3849,31049,30,2,amazon; trendyol,2026-07-26
ev-kurma,bulasik-makinesi,Bulaşık Makinesi,Beyaz eşya,sabit,16579,20800,26464,4333,34499,44,2,amazon; trendyol,2026-07-26
ev-kurma,buzdolabi,Buzdolabı,Beyaz eşya,sabit,12538,29150,48266,4408,61990,51,2,amazon; trendyol,2026-07-26
ev-kurma,davlumbaz,Davlumbaz,Beyaz eşya,sabit,3014,4614,9726,799,17850,42,2,amazon; trendyol,2026-07-26
ev-kurma,klima,Klima,Beyaz eşya,sabit,14554,29884,40940,5199,53999,46,2,amazon; trendyol,2026-07-26
ev-kurma,kurutma-makinesi,Kurutma Makinesi,Beyaz eşya,sabit,10972,18340,28698,3579,39100,35,2,amazon; trendyol,2026-07-26
ev-kurma,mikrodalga,Mikrodalga Fırın,Beyaz eşya,sabit,2914,5106,6612,1500,9199,49,2,amazon; trendyol,2026-07-26
ev-kurma,camasir-makinesi,Çamaşır Makinesi,Beyaz eşya,sabit,18819,29382,39292,5543,54599,42,2,amazon; trendyol,2026-07-26
ev-kurma,dikey-supurge,Dikey Süpürge,Elektronik,sabit,1718,5767,12374,933,26299,68,2,amazon; trendyol,2026-07-26
ev-kurma,supurge,Robot Süpürge,Elektronik,sabit,8174,18516,41499,5304,62999,64,2,amazon; trendyol,2026-07-26
ev-kurma,televizyon,Televizyon (4K),Elektronik,sabit,20993,41099,87999,9119,119999,51,2,amazon; trendyol,2026-07-26
ev-kurma,airfryer,Airfryer,Küçük ev aleti,sabit,1976,3578,6374,999,9499,57,2,amazon; trendyol,2026-07-26
ev-kurma,blender,Blender,Küçük ev aleti,sabit,1825,5564,4999,949,8789,57,2,amazon; trendyol,2026-07-26
ev-kurma,kahve-makinesi,Kahve Makinesi,Küçük ev aleti,sabit,996,3482,11452,319,23868,63,2,amazon; trendyol,2026-07-26
ev-kurma,mutfak-robotu,Mutfak Robotu / Doğrayıcı,Küçük ev aleti,sabit,1766,3240,5692,1074,9999,65,2,amazon; trendyol,2026-07-26
ev-kurma,sac-kurutma-makinesi,Saç Kurutma Makinesi,Küçük ev aleti,sabit,684,1219,2079,353,3799,58,2,amazon; trendyol,2026-07-26
