vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
ev-kurma,bulasik-makinesi,Bulaşık Makinesi,Beyaz eşya,sabit,kalem_fiyati,15749,23899,32499,12999,54778,,,,,,,52,3,amazon; mediamarkt; trendyol,2026-08-20
ev-kurma,buzdolabi,Buzdolabı,Beyaz eşya,sabit,kalem_fiyati,9750,30370,59899,4874,76057,,,,,,,76,3,amazon; mediamarkt; trendyol,2026-08-22
ev-kurma,davlumbaz,Davlumbaz,Beyaz eşya,sabit,kalem_fiyati,3373,5295,9592,2199,15992,,,,,,,60,3,amazon; mediamarkt; trendyol,2026-08-20
ev-kurma,firin-ocak,Fırın / Ocak (ürün tipine göre),Beyaz eşya,sabit,kalem_fiyati,11399,16999,38159,4049,51175,,,,,,,59,3,amazon; mediamarkt; trendyol,2026-08-22
ev-kurma,klima,Klima,Beyaz eşya,sabit,kalem_fiyati,19962,29041,38799,6500,58999,,,,,,,57,3,amazon; mediamarkt; trendyol,2026-08-20
ev-kurma,kurutma-makinesi,Kurutma Makinesi,Beyaz eşya,sabit,kalem_fiyati,16027,18972,28000,2999,65999,,,,,,,51,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,mikrodalga,Mikrodalga Fırın,Beyaz eşya,sabit,kalem_fiyati,3369,5058,7757,1400,17999,,,,,,,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,camasir-makinesi,Çamaşır Makinesi,Beyaz eşya,sabit,kalem_fiyati,22499,27499,42499,11699,61999,,,,,,,52,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,dikey-supurge,Dikey Süpürge,Elektronik,sabit,kalem_fiyati,1637,7100,16707,933,36999,,,,,,,76,3,amazon; mediamarkt; trendyol,2026-08-22
ev-kurma,supurge,Robot Süpürge,Elektronik,sabit,kalem_fiyati,8649,20963,39434,3499,58999,,,,,,,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,televizyon,Televizyon (4K),Elektronik,sabit,kalem_fiyati,19999,37724,61740,6199,99999,,,,,,,63,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,airfryer,Airfryer,Küçük ev aleti,sabit,kalem_fiyati,1849,3424,5499,1007,15999,,,,,,,66,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,blender,Blender,Küçük ev aleti,sabit,kalem_fiyati,1258,3328,8099,939,11629,,,,,,,69,3,amazon; mediamarkt; trendyol,2026-08-09
ev-kurma,kahve-makinesi,Kahve Makinesi,Küçük ev aleti,sabit,kalem_fiyati,1289,5799,22788,319,48999,,,,,,,78,3,amazon; mediamarkt; trendyol,2026-08-22
ev-kurma,mutfak-robotu,Mutfak Robotu / Doğrayıcı,Küçük ev aleti,sabit,kalem_fiyati,1690,2854,5674,1058,10999,,,,,,,56,2,amazon; trendyol,2026-08-09
